AGE,SEX,SAT,HS_GPA,BAT,CRT,Grade
18.5,M,630,3.04,22,NA,4
19,M,450,3.72,14,NA,0
18.4,F,540,4.4,23,22,4
18.7,F,530,3.16,21,NA,3
18.7,M,530,3.25,20,NA,0
18.4,F,590,3.79,21,NA,4
18.8,M,560,3.65,25,23,3.3
17.9,M,540,3.34,17,NA,4
18.5,F,400,3.7,21,NA,2
18.4,F,510,3.38,19,9,0
18.3,F,670,4.12,21,20,3.3
18.8,F,620,4.04,22,19,3.7
18.9,F,520,3.66,21,NA,0
18.6,F,560,3.76,24,14,3.7
18.8,F,550,3.84,20,NA,2.7
18.6,M,540,3.35,10,NA,2.3
18.2,F,570,3.88,23,15,3
18,F,520,3.57,22,NA,0
18.9,M,550,3.57,21,NA,4
18.4,M,560,3.1,20,NA,0
18.2,F,550,4.21,18,NA,3.7
18.6,M,610,3.7,24,NA,2
18.6,M,540,3.24,17,16,1.3
18.7,M,580,3.27,21,NA,3.3
18.1,F,510,3.43,12,NA,1
18.4,F,480,3.71,24,23,1
18.1,F,440,3.66,11,NA,3.3
18,F,440,3.73,17,NA,2.3
18.7,F,440,3.78,6,NA,2
18,M,570,3.25,21,10,2
17.9,M,600,3.54,19,NA,2.7
18.5,M,630,3.8,22,NA,4
18.1,F,570,3.33,19,NA,3.3
18.4,F,610,3.94,19,9,3.3
18.4,F,540,3.37,22,NA,3.7
18.4,F,590,3.17,21,NA,3
18.1,F,510,3.65,16,NA,3
18.6,M,550,2.95,19,12,0
18.6,F,490,3.47,21,NA,2.3
18.5,F,450,3.7,12,NA,2.7
18.1,F,580,3.7,20,NA,3.3
18.7,M,590,3.34,17,16,2.3
18.8,F,600,2.97,19,8,2
18.8,F,490,3.26,17,NA,1
18.5,M,560,3.27,22,NA,2.3
19,M,470,3.67,20,NA,2.3
18.1,F,520,3.25,17,NA,2.3
18.6,M,590,3.72,15,NA,2
17.9,M,610,3.58,18,18,3.3
18.2,F,660,3.58,20,NA,4
18.7,F,470,2.96,9,NA,1
18.6,F,590,3.28,20,NA,1.3
18,M,550,3.19,20,NA,3.7
17.8,F,460,3.63,11,NA,0
18.5,M,510,2.9,18,NA,4
18.4,F,520,3.32,21,13,3
18.5,M,510,2.96,13,NA,2
18.6,M,530,3.34,NA,NA,3.7
18.6,M,580,3.15,19,NA,4
18.5,M,510,2.95,17,NA,2
18.1,F,530,3.1,18,NA,1
17.9,M,590,3.6,17,NA,2
18.9,M,510,3.46,15,NA,2.7
18.1,F,520,4.08,20,NA,4
18.9,F,560,3.22,10,NA,3
18.1,M,540,2.96,17,NA,2
18.3,F,520,3.24,20,NA,2
19,F,520,3.36,9,NA,2.3
18.1,M,640,3.97,24,16,3.7
18,F,590,3.81,24,NA,4
18.8,M,550,3.31,20,20,0
18.1,F,500,3.51,18,NA,1
18.3,M,570,3.42,17,15,3
18.4,M,550,3.03,19,NA,0
18.1,F,620,4.23,17,16,4
18.7,M,540,3.19,22,NA,3.3
18.9,M,580,3.47,17,NA,3.7
18.5,M,540,3.88,22,16,2.3
18.1,F,540,3.64,21,8,4
17.9,F,500,3.2,10,NA,0
18.3,F,540,3.38,22,14,4
18,F,450,3.38,18,NA,3.7
17.9,M,560,3.26,23,13,3
18.8,M,470,3,18,14,2
18.5,M,620,3.38,23,21,4
18.5,M,520,3.52,17,9,3.3
18.2,M,510,3.36,17,NA,1
18.6,M,490,3.59,15,NA,3.7
18.7,M,510,3.87,19,NA,2
18.2,F,540,3.48,17,NA,0
18,M,630,3.74,21,18,4
18.2,F,530,3.64,17,17,2.3
18.1,M,550,3.45,17,NA,3.7
18.5,M,690,3.15,22,NA,0
18.8,M,550,3.13,16,NA,4
17.9,M,480,3.39,NA,NA,2.7
18,F,560,3.55,22,NA,3.7
17.8,M,530,3.77,20,19,2
18.2,F,530,3.44,23,NA,0
18.7,F,510,3.3,10,NA,0
19.1,M,600,3.27,22,NA,1
18.3,M,640,3.62,19,NA,3
18.5,M,570,3.59,16,NA,0
